type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,FAR,ASXCEN,FAR,FAR LTD,14063375,,AU000000FAR6,Q3727T187,AUD,AU,,F,e1442359,1
STK,FAU,CHIXAU,FAU,FIRST AU LTD,321325916,,AU0000015414,Q38283109,AUD,AU,,F,e1442612,1
# STK,FBM,ASXCEN,FBM,FUTURE BATTERY MINERALS LTD,622467898,,AU0000272072,Q06778122,AUD,AU,,F,e1634370,1
STK,FBR,ASX,FBR,FBR LTD,211683024,,AU000000FBR4,Q3R26D108,AUD,AU,T,F,e1442316,1
STK,FBU,CHIXAU,FBU,FLETCHER BUILDING LTD,14063399,,NZFBUE0001S0,Q3915B105,AUD,AU,,F,e1442360,1
STK,FCG,ASX,FCG,FREEDOM CARE GROUP HOLDINGS,668612626,,AU0000298812,Q3955X108,AUD,AU,T,F,e1438720,1
STK,FCL,ASX,FCL,FINEOS CORP HOLDINGS PLC-CDI,379198683,,AU0000054322,G3444X108,AUD,AU,T,F,e3453131,1
STK,FCT,ASX,FCT,FIRSTWAVE CLOUD TECHNOLOGY L,232850695,,AU000000FCT8,Q3R45C107,AUD,AU,T,F,e1627042,1
STK,FDR,ASX,FDR,FINDER ENERGY HOLDINGS LTD,555122857,,AU0000212078,Q38192102,AUD,AU,T,F,e4738369,1
STK,FDV,ASXCEN,FDV,FRONTIER DIGITAL VENTURES LT,245359774,,AU000000FDV2,Q3R46W102,AUD,AU,,F,e3214251,1
STK,FEG,ASXCEN,FEG,FAR EAST GOLD LTD,553013100,,AU0000191793,Q3727V109,AUD,AU,,F,e4722639,1
STK,FEX,CHIXAU,FEX,FENIX RESOURCES LTD,334193800,,AU0000025132,Q3759D100,AUD,AU,,F,e1452475,1
STK,FFG,CHIXAU,FFG,FATFISH GROUP LTD,160813365,,AU000000FFG8,Q3745P100,AUD,AU,,F,e1442175,1
STK,FFI,CHIXAU,FFI,FFI HOLDINGS LIMITED,14063360,,AU000000FFI4,Q3785D108,AUD,AU,,F,e1442363,1
STK,FFM,ASX,FFM,FIREFLY METALS LTD,671559024,,AU0000313769,Q1198K164,AUD,AU,T,F,e1438993,1
# STK,FFXND,ASXCEN,FFXND,FIREFINCH LTD-NEW SHARES,524133216,,AU0000178238,,AUD,AU,,F,e1438786,1
STK,FG1,ASX,FG1,FLYNN GOLD LTD,496998018,,AU0000143695,Q3898P105,AUD,AU,T,F,e4358558,1
STK,FGF,ASX,FGF,FIRST GROWTH FUNDS LTD,86434762,,AU000000FGF8,Q3859T195,AUD,AU,T,F,e1442515,1
